"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Open Access","Citations count","Google Scholar ID","PubMed ID","PMC ID","References","Grants","arXiv ID","Updated Date","Primary Category","Categories","Source","Relevance","Abstract","Complexity Dimensions Identified","Scoring and Decision Approach","Results","Findings"
"Addressing the Complexity of Prenatal and Postnatal Environmental Exposures Affecting Childhood Lung Function","https://www.zotero.org/JHodges38104/items/5AEYBFVN/library","2019","Journal Article","The Lancet Planetary Health","D. Sly Peter
Usemann Jakob","10.1016/s2542-5196(19)30011-7","","No","","","","","","","","","","","Zotero","- **Relevance Score:** 0/100 - **Relevance Tag:** Not Relevant - **Reasoning:** Paper discusses environmental exposures and lung function, without addressing clinical trial complexity, frameworks, or site‑selection decision making.","","","","",""
"The PedsQL multidimensional fatigue scale in pediatric obesity: feasibility, reliability and validity","https://www.zotero.org/JHodges38104/items/CUBHTGG6/library","2010","Journal Article","Pediatric Obesity","J. W. Varni
C. A. Limbers
W. P. Bryant
D. P. Wilson","10.3109/17477160903111706","","No","125","","","","","","","","","","Zotero","- **Relevance Score:** 0/100 - **Relevance Tag:** Not Relevant - **Reasoning:** The study validates a fatigue questionnaire for obese children; it does not discuss trial complexity, frameworks, or site‑selection decision‑making.","Objective. The PedsQL™ (Pediatric Quality of Life Inventory™) is a modular instrument designed to measure health-related quality of life (HRQOL) and disease-specific symptoms in children and adoles...","","","",""
"Attitudes toward clinical trials among patients with sickle cell disease","https://www.zotero.org/JHodges38104/items/6QYZUXK5/library","2014","Journal Article","Clinical Trials","C. Haywood
S. Lanzkron
M. Diener-West
J. Haythornthwaite
J. J. Strouse
S. Bediako
G. Onojobi
M. C. Beach","10.1177/1740774513519876","https://scispace.com/pdf/attitudes-toward-clinical-trials-among-patients-with-sickle-1fq8f4wevn.pdf","No","","","","","","","","","","","Zotero","- **Relevance Score:** 0/100 - **Relevance Tag:** Not Relevant - **Reasoning:** Studies patient attitudes toward sickle cell disease trials; does not propose a complexity framework, discuss complexity metrics, or link to feasibility/site‑selection decisions.","BackgroundA substantial number of planned clinical trials for sickle cell disease (SCD) have terminated early due to insufficient patient enrollment.PurposeTo describe attitudes toward clinical tri...","","","",""
"Clinical Trial Decision Making in Pediatric Sickle Cell Disease: A Qualitative Study of Perceived Benefits and Barriers to Participation","https://www.zotero.org/JHodges38104/items/RBGMLXVM/library","2015","Journal Article","Journal of Pediatric Hematology Oncology","C. A. Patterson
V. Chavez
V. Mondestin
J. Deatrick
Y. M. Li
L. P. Barakat","10.1097/MPH.0000000000000216","","No","","","","","","","","","","","Zotero","- **Relevance Score:** 0/100 - **Relevance Tag:** Not Relevant - **Reasoning:** Examines patient/caregiver enrollment decisions in pediatric SCD trials; does not propose a complexity framework, nor discuss complexity metrics or site‑selection feasibility.","Clinical trial research forms the foundation for advancing treatments; yet, children with sickle cell disease (SCD) are currently underrepresented. This qualitative study examines decision-making processes of youth with SCD and their caregivers regarding enrollment in clinical trial research. A subs","","","",""
"Can Preconsent Eliminate Some Barriers to Clinical Trial Enrollment of Children With Sickle Cell Disease in Crisis?","https://www.zotero.org/JHodges38104/items/87ITCHW9/library","2016","Journal Article","Pediatric Blood & Cancer","G. M. Guilcher","10.1002/pbc.26057","","No","","","","","","","","","","","Zotero","- **Relevance Score:** 0/100 - **Relevance Tag:** Not Relevant - **Reasoning:** Uses pre‑consent to boost enrollment in a sickle‑cell crisis trial; does not discuss trial complexity frameworks, metrics, or site‑selection feasibility.","I n this issue of Pediatric Blood & Cancer (page nnn), Nimmer and colleagues present a method of preconsent to enhance accrual to a randomized, double-blind, placebo-controlled clinical trial, which assigned children with sickle cell vasoocclusive crises to receive intravenous magnesium or normal saline placebo (magnesium in crisis [MAGiC] trial). While this study did not demonstrate benefit from the use of intravenous magnesium in terms of length of hospital stay, opioid use, or quality of life, the authors did gain valuable insight into research methodology in this population in the emergency setting.[1] Children with sickle cell disease have historically been poorly served in North American emergency departments due to knowledge deficits about the disease itself, in addition to the challenges for racial minorities in accessing timely and quality care. Collecting valuable data with the aim of improving care and outcomes for such populations is also complicated for various reasons. African-American and pediatric patients have been shown to be less likely to enroll on available clinical trials in a large academic center in North Carolina.[2] Mistrust is well known to impact recruitment of racial minorities to clinical trials.[3,4] Informed consent for research for patients in emergency departments might not be obtained due to the patient’s clinical status or the lack of an available legal authorized representative. Time constraints and the stress associated with acute medical complications (such as pain) are additional challenges. Logistics such as time of day and research staff availability may limit accrual, particularly when collaboration with additional services (e.g., pediatric hematology) is required. Such barriers do not absolve clinicians and care providers of their duty to include disadvantaged populations in clinical research—these barriers must be identified to allow for the development of strategies to overcome them. In fact, both National Institute of Health in the United States and Canadian Tri-Council Policy Statement on the Ethical Conduct for Research Involving Humans state that minorities and vulnerable populations should not be inappropriately excluded from research that might provide them benefit, although additional safeguardsmight be required for their protection.[5,6] One strategy to improve the education and understanding of potential research participants is preconsent. This process involves time spent with the research team and/or multimedia educational materials—in advance of eligibility for enrollment on the trial or randomization—which might include a description of general principles of clinical research or specific components of a particular clinical trial. Preconsent takes place in a calm, controlled environment with no time pressures, consistent with the process of truly informed consent. A study of this process in two cohorts of adult African Americans offered a hypothetical research trial with and without preconsent educational material. In those preconsented, significantly fewer subjects cited mistrust, fear of adverse effects, perceived lack of benefits, and privacy concerns as reasons for declining the hypothetical study.[7] These findings are consistent with a report of lessons learned from a trial in children and adults performed by the Sickle Cell Disease Clinical Research Network, in which sites that enrolled subjects strongly endorsed the statement that “educating subjects aided enrollment.”[4] Informed consent practices for research involving children with leukemia have improved with the guidance of parents of such children, with conclusions from qualitative research emphasizing the importance of time to make decisions, the provision of additional materials, organized consent conferences, and the staging of consent over several meetings.[8] The authors suggest that their findings should not differ fundamentally from the needs of children and families with other diagnoses, particularly when time pressure and stressmight influence the informed consent process. With these barriers in mind, combined with the literature describing preconsent as one potential solution to enhance the understanding of prospective subjects, Nimmer et al. employed a preconsent process at some sites in the MAGiC trial. Four of eight sites implemented such a process, with the remaining sites citing resource challenges and prior experiences or knowledge of the limitations of preconsent as reasons to decline its implementation. The authors found that preconsented subjects were much more likely to undergo randomization compared to those whose informed consent process took place in its entirety upon presentation with a vasoocclusive crisis. Few patients who preconsented to participate in the study later declined ongoing participation when presenting in crisis. These data suggest a strong willingness of those subjects who agreed to participate in the preconsent process to undergo randomization, but it would be","","","",""
"Untangling the complexity of limb-girdle muscular dystrophies","https://www.zotero.org/JHodges38104/items/TJN32899/library","2018","Journal Article","Muscle & Nerve","T. Liewluck
M. Milone","10.1002/mus.26077","","No","89","","","","","","","","","","Zotero","- **Relevance Score:** 0/100 - **Relevance Tag:** Not Relevant - **Reasoning:** Paper classifies LGMD subtypes by defective proteins; contains no discussion of trial complexity, feasibility analysis, or site‑selection frameworks.","The limb-girdle muscular dystrophies (LGMDs) are a group of genetically heterogeneous, autosomal inherited muscular dystrophies with a childhood to adult onset, manifesting with hip- and shoulder-girdle muscle weakness. When the term LGMD was first conceptualized in 1954, it was thought to be a single entity. Currently, there are 8 autosomal dominant (LGMD1A-1H) and 26 autosomal recessive (LGMD2A-2Z) variants according to the Online Mendelian Inheritance in Man database. In addition, there are other genetically identified muscular dystrophies with an LGMD phenotype not yet classified as LGMD. This highlights the entanglement of LGMDs, which represents an area in continuous expansion. Herein we aim to simplify the complexity of LGMDs by subgrouping them on the basis of the underlying defective protein and impaired function. Muscle Nerve 58: 167-177, 2018.","","","",""
"Vitamin D for the Prevention of Disease: An Endocrine Society Clinical Practice Guideline.","https://pubmed.ncbi.nlm.nih.gov/38828931","2024","Journal Article","The Journal of clinical endocrinology and metabolism","Demay
Pittas
Bikle
Diab
Kiely
Lazaretti-Castro
Lips
Mitchell
Murad
Powers
Rao
Scragg
Tayek
Valent
Walsh
McCartney","10.1210/clinem/dgae290","","No","","","38828931","","No references available","","","","","","PubMed","- **Relevance Score:** 0/100 - **Relevance Tag:** Not Relevant - **Reasoning:** Guideline discusses vitamin D supplementation and disease associations; contains no framework, metrics, or decision‑making tools for clinical‑trial complexity or site feasibility.","Numerous studies demonstrate associations between serum concentrations of 25-hydroxyvitamin D (25[OH]D) and a variety of common disorders, including musculoskeletal, metabolic, cardiovascular, malignant, autoimmune, and infectious diseases. Although a causal link between serum 25(OH)D concentrations and many disorders has not been clearly established, these associations have led to widespread supplementation with vitamin D and increased laboratory testing for 25(OH)D in the general population. The benefit-risk ratio of this increase in vitamin D use is not clear, and the optimal vitamin D intake and the role of testing for 25(OH)D for disease prevention remain uncertain.","","","",""
"Systematic Review and Meta-Analysis of the Magnitude of Structural, Clinical, and Physician and Patient Barriers to Cancer Clinical Trial Participation.","https://scispace.com/papers/systematic-review-and-meta-analysis-of-the-magnitude-of-2u7spbmvgs","2019","Journal Article","Journal of the National Cancer Institute","Joseph M. Unger
Riha Vaidya
Dawn L. Hershman
Lori M. Minasian
Mark E. Fleury","10.1093/JNCI/DJY221","https://scispace.com/pdf/systematic-review-and-meta-analysis-of-the-magnitude-of-2u7spbmvgs.pdf","Yes","443","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 0/100 - **Relevance Tag:** Not Relevant - **Reasoning:** Analyzes structural, clinical, and physician/patient barriers to trial enrollment; does not propose a complexity‑assessment framework, nor link complexity to feasibility or site‑selection decisions.","Background Barriers to cancer clinical trial participation have been the subject of frequent study, but the rate of trial participation has not changed substantially over time. Studies often emphasize patient-related barriers, but other types of barriers may have greater impact on trial participation. Our goal was to examine the magnitude of different domains of trial barriers by synthesizing prior research. Methods We conducted a systematic review and meta-analysis of studies that examined the trial decision-making pathway using a uniform framework to characterize and quantify structural (trial availability), clinical (eligibility), and patient/physician barrier domains. The systematic review utilized the PubMed, Google Scholar, Web of Science, and Ovid Medline search engines. We used random effects to estimate rates of different domains across studies, adjusting for academic vs community care settings. Results We identified 13 studies (nine in academic and four in community settings) with 8883 patients. A trial was unavailable for patients at their institution 55.6% of the time (95% confidence interval [CI] = 43.7% to 67.3%). Further, 21.5% (95% CI = 10.9% to 34.6%) of patients were ineligible for an available trial, 14.8% (95% CI = 9.0% to 21.7%) did not enroll, and 8.1% (95% CI = 6.3% to 10.0%) enrolled. Rates of trial enrollment in academic (15.9% [95% CI = 13.8% to 18.2%]) vs community (7.0% [95% CI = 5.1% to 9.1%]) settings differed, but not rates of trial unavailability, ineligibility, or non-enrollment. Conclusions These findings emphasize the enormous need to address structural and clinical barriers to trial participation, which combined make trial participation unachievable for more than three of four cancer patients.","","","",""
"Geriatric assessment predicts survival and competing mortality in colorectal cancer elderly patients. Can it help in adjuvant therapy decision?","https://www.zotero.org/JHodges38104/items/N3LBRMD9/library","2016","Journal Article","Annals of Oncology","M. Antonio
J. Saldana
A. Carmona-Bayonas
V. Navarro
C. Tebe
F. Formiga
R. Salazar
J. Borras","10.1093/annonc/mdw370.93","","No","","","","","","","","","","","Zotero","- **Relevance Score:** 0/100 - **Relevance Tag:** Not Relevant - **Reasoning:** Uses geriatric assessment to predict survival in elderly colorectal cancer patients; does not address trial complexity, feasibility analysis, or site‑selection frameworks.","","","","",""
"Decision-theoretic designs for small trials and pilot studies: A review","https://scispace.com/papers/decision-theoretic-designs-for-small-trials-and-pilot-zqiz6nyou8","2016","Journal Article","Statistical Methods in Medical Research","Siew Wan Hee
Thomas Hamborg
Simon Day
Jason Madan
Frank Miller
Martin Posch
Sarah Zohar
Nigel Stallard","10.1177/0962280215588245","https://scispace.com/pdf/decision-theoretic-designs-for-small-trials-and-pilot-zqiz6nyou8.pdf","Yes","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 0/100 - **Relevance Tag:** Not Relevant - **Reasoning:** Uses decision‑theoretic utility designs for small trials; does not propose a complexity‑assessment framework, nor address trial complexity metrics or site‑selection feasibility.","Pilot studies and other small clinical trials are often conducted but serve a variety of purposes and there is little consensus on their design. One paradigm that has been suggested for the design of such studies is Bayesian decision theory. In this article, we review the literature with the aim of summarizing current methodological developments in this area. We find that decision-theoretic methods have been applied to the design of small clinical trials in a number of areas. We divide our discussion of published methods into those for trials conducted in a single stage, those for multi-stage trials in which decisions are made through the course of the trial at a number of interim analyses, and those that attempt to design a series of clinical trials or a drug development programme. In all three cases, a number of methods have been proposed, depending on the decision maker’s perspective being considered and the details of utility functions that are used to construct the optimal design.","","","",""
"Geriatric Assessment Predicts Survival and Competing Mortality in Elderly Patients with Early Colorectal Cancer: Can It Help in Adjuvant Therapy Decision-Making?","https://www.zotero.org/JHodges38104/items/LHAK9GEC/library","2017","Journal Article","Oncologist","M. Antonio
J. Saldana
A. Carmona-Bayonas
V. Navarro
C. Tebe
M. Nadal
F. Formiga
R. Salazar
J. M. Borras","10.1634/theoncologist.2016-0462","","No","55","","","","","","","","","","Zotero","- **Relevance Score:** 0/100 - **Relevance Tag:** Not Relevant - **Reasoning:** Uses comprehensive geriatric assessment to predict survival in elderly colorectal cancer patients; does not address trial complexity, feasibility, or site‑selection.","Background. The challenge when selecting elderly patients with colorectal cancer (CRC) for adjuvant therapy is to estimate the likelihood that death from other causes will preclude cancer events from occurring. The aim of this paper is to evaluate whether comprehensive geriatric assessment (CGA) can predict survival and cancer-specific mortality in elderly CRC patients candidates for adjuvant therapy. Material and Methods. One hundred ninety-five consecutive patients aged >= 75 with high-risk stage II and stage III CRC were prospectively included from May 2008 to May 2015. All patients underwent CGA, which evaluated comorbidity, polypharmacy, functional status, geriatric syndromes, mood, cognition, and social support. According to CGA results, patients were classified into three groups-fit, medium-fit, and unfit-to receive standard therapy, adjusted treatment, and best supportive care, respectively. We recorded survival and cause of death and used the Fine-Gray regression model to analyze competing causes of death. Results. Following CGA, 85 (43%) participants were classified as fit, 57 (29%) as medium-fit, and 53 (28%) as unfit. The univariate 5-year survival rates were 74%, 52%, and 27%. Sixty-one (31%) patients died due to cancer progression (53%), non-cancer-related cause (46%), and unknown reasons (1%); there were no toxicity-related deaths. Fit and medium-fit participants were more likely to die due to cancer progression, whereas patients classified as unfit were at significantly greater risk of non-cancer-related death. Conclusion. CGA showed efficacy in predicting survival and discriminating between causes of death in elderly patients with high-risk stage II and stage III resected CRC, with potential implications for shaping the decision-making process for adjuvant therapies.","","","",""
"Building virtual patients using simulation-based inference.","https://pubmed.ncbi.nlm.nih.gov/40809131","2024","Journal Article","Frontiers in systems biology","Paul
Karamitsou
Giegerich
Sadeghi
Lücke
Wagenhuber
Kister
Rehberg","10.3389/fsysb.2024.1444912","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12342008/pdf","Yes","","","40809131","PMC12342008","Aghamiri S. S., Amin R., Helikar T. (2022). Recent applications of quantitative systems pharmacology and machine learning models across diseases. J. Pharmacokinet. Pharmacodyn. 49 (1), 19–37. 10.1007/s10928-021-09790-9

Allen A., Siefkas A., Pellegrini E., Burdick H., Barnes G., Calvert J., et al. (2021). A digital twins machine learning model for forecasting disease progression in stroke patients. Appl. Sci. 11 (12), 5576. 10.3390/app11125576

Allen R. J., Rieger T. R., Musante C. J. (2016). Efficient generation and selection of virtual populations in quantitative systems pharmacology models. CPT Pharmacometrics Syst. Pharmacol. 5 (3), 140–146. 10.1002/psp4.12063

Biesemann N., Margerie D., Asbrand C., Rehberg M., Savova V., Agueusop I., et al. (2023). Additive efficacy of a bispecific anti–TNF/IL-6 nanobody compound in translational models of rheumatoid arthritis. Sci. Transl. Med. 15 (15), eabq4419. 10.1126/scitranslmed.abq4419

Björnsson B., Borrebaeck C., Elander N., Gasslander T., Gawel D. R., Gustafsson M., et al. (2019). Digital twins to personalize medicine. Genome Med. 12 (1), 4. 10.1186/s13073-019-0701-3

Boelts J., Harth P., Gao R., Udvary D., Yanez F., Baum D., et al. (2023). Simulation-based inference for efficient identification of generative models in connectomics. bioRxiv. 10.1371/journal.pcbi.1011406

Boyali A., Thompson S., Wong D. R. (2021). “Identification of vehicle dynamics parameters using simulation-based inference,” in 2021 IEEE intelligent vehicles symposium workshops (IV workshops).

Bradshaw E. L., Spilker M. E., Zang R., Bansal L., He H., Jones R. D. O., et al. (2019). Applications of quantitative systems pharmacology in model-informed drug discovery: perspective on impact and opportunities. CPT Pharmacometrics Syst. Pharmacol. 8 (11), 777–791. 10.1002/psp4.12463

Burmester G. R., Lin Y., Patel R., van Adelsberg J., Mangan E. K., Graham N. M., et al. (2017). Efficacy and safety of sarilumab monotherapy versus adalimumab monotherapy for the treatment of patients with active rheumatoid arthritis (MONARCH): a randomised, double-blind, parallel-group phase III trial. Ann. Rheum. Dis. 76 (5), 840–847. 10.1136/annrheumdis-2016-210310

Byrd R. H., Gilbert J. C., Nocedal J. (2000). A trust region method based on interior point techniques for nonlinear programming. Math. Program. 89, 149–185. 10.1007/pl00011391

Cheng Y., Straube R., Alnaif A., Huang L., Leil T., Schmidt B. (2022). Virtual populations for quantitative systems pharmacology models. Methods Mol. Biol., 2486:129–179. 10.1007/978-1-0716-2265-0_8

Cranmer K., Brehmer J., Louppe G. (2020). The frontier of simulation-based inference. Proc. Natl. Acad. Sci. U.S.A. 117 (48), 30055–30062. 10.1073/pnas.1912789117

Derbalah A., Al-Sallami H., Hasegawa C., Gulati A., Duffull S. B. (2022). A framework for simplification of quantitative systems pharmacology models in clinical pharmacology. Br. J. Clin. Pharmacol. 88 (4), 1430–1440. 10.1111/bcp.14451

Dixon J. K. (1979). Pattern recognition with partly missing data. IEEE Trans. Syst. Man. Cybern. Syst. 9 (10), 617–621. 10.1109/tsmc.1979.4310090

Duffull S., Gulati A. (2020). Potential issues with virtual populations when applied to nonlinear quantitative systems pharmacology models. CPT Pharmacometrics Syst. Pharmacol. 9 (11), 613–616. 10.1002/psp4.12559

Egea J. A., Vazquez E., Banga J. R., Martí R. (2009). Improved scatter search for the global optimization of computationally expensive dynamic models. J. Glob. Optim. 43, 175–190. 10.1007/s10898-007-9172-y

Friedrich C. (2016). A model qualification method for mechanistic physiological QSP models to support model-informed drug development. CPT Pharmacometrics and Syst. Pharmacol. 5 (2), 43–53. 10.1002/psp4.12056

Gabay C., Msihid J., Paccard C., Zilberstein M., Graham N. M., Boyapati A. (2017). FRI0227 Sarilumab significantly suppresses circulating biomarkers of bone resorption and cardiovascular risk compared with adalimumab: biomarker analysis from the phase 3 monarch study. Ann. Rheum. Dis. 76, 570. 10.1136/annrheumdis-2017-eular.4534

Gaby C., Burmester G., Strand V., Msihid J., Zilberstein M., Kimura T., et al. (2020). Sarilumab and adalimumab differential effects on bone remodelling and cardiovascular risk biomarkers, and predictions of treatment outcomes. Arthritis Res. and Ther. 22 (1), 70. 10.1186/s13075-020-02163-6

Greenberg D., Nonnenmacher M., Macke J. (2019). “Automatic posterior transformation for likelihood-free inference,” in International conference on machine learning.


Howell B. A., Yang Y., Kumar R., Woodhead J., Harrill A., Clewell H. 3., et al.  (2012). 


Klinke D. (2008). Integrating epidemiological data into a mechanistic model of type 2 diabetes: validating the prevalence of virtual patients. Ann. Biomed. Eng. 36 (2), 321–334. 10.1007/s10439-007-9410-y

Lee P. M. (1989). Bayesian statistics. London: Oxford University Press.

Lueckmann J.-M., Boelts J., Greenberg D., Goncalves P., Macke J. (2021). “Benchmarking simulation-based inference,” in International conference on artificial intelligence and statistics.

Luo M. C., Nikolopoulou E., Gevertz J. L. (2022). From fitting the average to fitting the individual: a cautionary tale for mathematical modelers. Front. Oncol. 12, 793908. 10.3389/fonc.2022.793908

McComb M., Blair R. H., Lysy M., Ramanathan M. (2022). Machine learning-guided, big data-enabled, biomarker-based systems pharmacology: modeling the stochasticity of natural history and disease progression. J. Pharmacokinet. Pharmacodyn. 49 (1), 65–79. 10.1007/s10928-021-09786-5

Parikh J., Rumbell T., Butova X., Myachina T., Acero J. C., Khamzin S., et al. (2022). Generative adversarial networks for construction of virtual populations of mechanistic models: simulations to study Omecamtiv Mecarbil action. J. Pharmacokinet. Pharmacodyn. 49 (1), 51–64. 10.1007/s10928-021-09787-4

Rehberg M., Giegerich C., Praestgaard A., van Hoogstraten H., Iglesias-Rodriguez M., Curtis J. R., et al. (2021). Identification of a rule to predict response to sarilumab in patients with rheumatoid arthritis using machine learning and clinical trial data. Rheumatol. Ther. 8, 1661–1675. 10.1007/s40744-021-00361-5

Reza M., Zhang Y., Nord B., Poh J., Ciprijanovic A., Strigari L. (2022). “Estimating cosmological constraints from galaxy cluster abundance using simulation-based inference,” in ICML 2022 workshop on machine learning for astrophysics.

Rieger T. R., Allen R. J., Bystricky L., Chen Y., Colopy G. W., Cui Y., et al. (2018). Improving the generation and selection of virtual populations in quantitative systems pharmacology models. Prog. Biophys. Molec Bio 139, 15–22. 10.1016/j.pbiomolbio.2018.06.002

Schmidt B. J., Casey F. P., Paterson T., Chan J. R. (2013). Alternate virtual populations elucidate the type I interferon signature predictive of the response to rituximab in rheumatoid arthritis. BMC Bioinforma. 14, 221. 10.1186/1471-2105-14-221

Sobol I. (2001). Global sensitivity indices for nonlinear mathematical models and their Monte Carlo estimates. Math. Comput. SIMULAT 55 (1-3), 271–280. 10.1016/S0378-4754(00)00270-6

Sorger P., Allerheiligen S., Abernethy D., Altman R., Brouwer K., Califano A., et al. (2011). Quantitative and systems pharmacology in the post-genomic era: new approaches to discovering drugs and understanding therapeutic. Maharashtra, India: NIH White Paper by the QSP Workshop Group.

Tibshirani B., Efron R. (1986). Bootstrap methods for standard errors, confidence. Stat. Sci. 27 (2), 54–77.

Wajima T., Isbister G. K., Duffull S. B. (2009). A comprehensive model for the humoral coagulation network in humans. Clin. Pharmacol. Ther. 86, 290–298. 10.1038/clpt.2009.87

Zhang T., Androulakis I. P., Bonate P., Cheng L., Helikar T., Parikh J., et al. (2022). Two heads are better than one: current landscape of integrating QSP and machine learning: an ISoP QSP SIG white paper by the working group on the integration of quantitative systems pharmacology and machine learning. J. Pharmacokinet. Pharmacodyn. 49 (1), 5–18. 10.1007/s10928-022-09805-z February, 2022)","No grants available","","","","","PubMed","- **Relevance Score:** 0/100 - **Relevance Tag:** Not Relevant - **Reasoning:** Paper develops simulation‑based virtual patients; no framework, metrics, or decision tools for clinical‑trial complexity or site feasibility are discussed.","In the context of","","","",""
"Effects of heterogeneous interaction strengths on food web complexity","https://www.zotero.org/JHodges38104/items/RGCEXATB/library","2008","Journal Article","Oikos","J. L. Garcia-Domingo
J. Saldana","10.1111/j.2007.0030-1299.16261.x","","No","","","","","","","","","","","Zotero","- **Relevance Score:** 0/100 - **Relevance Tag:** Not Relevant - **Reasoning:** Paper studies ecological food‑web architecture using foraging preferences; no connection to clinical trial complexity, frameworks, or site‑selection decisions.","Using a bioenergetic model we show that the pattern of foraging preferences greatly determines the complexity of the resulting food webs. By complexity we refer to the degree of richness of food-web architecture, measured in terms of some topological indicators (number of persistent species and links, connectance, link density, number of trophic levels, and frequency of weak links). The poorest food-web architecture is found for a mean-field scenario where all foraging preferences are assumed to be the same. Richer food webs appear when foraging preferences depend on the trophic position of species. Food-web complexity increases with the number of basal species. We also find a strong correlation between the complexity of a trophic module and the complexity of entire food webs with the same pattern of foraging preferences.","","","",""
"Exploring barriers and facilitators to clinical trial enrollment in the context of sickle cell anemia and hydroxyurea","https://www.zotero.org/JHodges38104/items/REAMZTGE/library","2013","Journal Article","Pediatric Blood & Cancer","J. D. Lebensburger
R. F. Sidonio
M. R. Debaun
M. M. Safford
T. H. Howard
I. C. Scarinci","10.1002/pbc.24486","https://scispace.com/pdf/exploring-barriers-and-facilitators-to-clinical-trial-jovmwowwd3.pdf","No","","","","","","","","","","","Zotero","- **Relevance Score:** 0/100 - **Relevance Tag:** Not Relevant - **Reasoning:** Explores parental barriers/facilitators to sickle cell trial enrollment; offers no complexity framework, metrics, or site‑selection decision tools.","Background Several sickle cell clinical trials have closed due to inability to enroll patients. To limit the early cessation of a proposed clinical trial due to low accrual rates, we sought to better understand barriers and facilitators to enrolling parents of children with sickle cell anemia (SCD) into clinical trials. Procedure Focus groups (n = 3) were conducted with parents/guardians (n = 14) who had not previously been recruited for a clinical trial and were not administering hydroxyurea to their children. Results Three main themes related to barriers to clinical trial enrollment were identified during analysis of focus groups: general barriers to health related research (general mistrust of research studies, emotional and practical concerns), barriers to trial design (randomization), and barriers to hydroxyurea (long term unknown risks, cancer, myelosuppressive effects). Facilitators identified were need for more education, including request for peer education, and improved explanation of clinical trials or study rationale. Conclusion Engagement of parents/guardians of children with SCD in identifying barriers and facilitators to clinical trial enrollment may be critical to the development of strategies to enhance SCD trial completion. Pediatr Blood Cancer 2013;60:1333–1337. © 2013 Wiley Periodicals, Inc.","","","",""
"Longitudinal assessment of lung function in children with sickle cell disease.","https://www.zotero.org/JHodges38104/items/MP8R7EFJ/library","2016","Journal Article","Pediatric Pulmonology","Alan Lunt
Alan Lunt
Emily McGhee
Emily McGhee
Karl Sylvester
Karl Sylvester
Gerrard F. Rafferty
Gerrard F. Rafferty
Moira Dick
Moira C. Dick
David C. Rees
David C. Rees
Sue Height
Sue Height
Swee Lay Thein
Swee Lay Thein
Anne Greenough
Anne Greenough","10.1002/ppul.23367","https://scispace.com/pdf/longitudinal-assessment-of-lung-function-in-children-with-5amb5zrf4t.pdf","No","50","","","","","","","","","","Zotero","- **Relevance Score:** 0/100 - **Relevance Tag:** Not Relevant - **Reasoning:** Studies longitudinal lung function decline in children with sickle cell disease; contains no framework, metrics, or guidance for clinical‑trial complexity, feasibility, or site selection.","Summary Objectives To prospectively assess longitudinal lung function in children with sickle cell disease (SCD). Working hypothesis Lung function in SCD children deteriorates with increasing age and the decline is more marked in younger children who have recently suffered ACS episodes. Study design Two prospective longitudinal studies. Patient-subject selection Two cohorts of SCD children and age and ethnic matched controls were recruited. Cohort One (47 SCD and 26 controls) had a median age of 8.8 years and follow up of 2 years and Cohort Two (45 SCD and 26 controls) a median age of 10.2 years and follow up of 10 years. Methodology Forced expiratory volume in one second (FEV1), vital capacity (VC), forced expiratory flow between 25% and 75% of VC (FEF 25–75), total lung capacity (TLC) and residual volume (RV) were measured on two occasions. Results In both groups of SCD children, lung function declined significantly, but in neither control group. ACS episodes were more frequent during the follow up period in Cohort One than Cohort Two (P<0.0001). The rate of decline was greater in Cohort One than Cohort Two for FEV1 (P=0.008), VC (P=0.001), FEF25–75 (P=0.030), TLC (P=0.004), and RV (P=0.043). In Cohort Two restrictive abnormalities were more common at follow up (P=0.006). Conclusions Lung function deteriorated with increasing age in SCD children and the rate of decline was greater in younger children in whom ACS episodes were more common. Pediatr Pulmonol. © 2015 Wiley Periodicals, Inc.","","","",""
"Intentional and unintentional nonadherence: a study of decision making.","https://www.mendeley.com/reference-manager/library/all-references/1f46fe73-36b0-35ff-afcc-8af6cb715797","2002","Journal Article","Journal of Behavioral Medicine","Abigail L. Wroe
Abigail L. Wroe","10.1023/A:1015866415552","","No","","","","","","","","","","","Mendeley","- **Relevance Score:** 0/100 - **Relevance Tag:** Not Relevant - **Reasoning:** Studies medication adherence decisions, not trial design; offers no framework, metrics, or feasibility guidance for clinical‑trial complexity or site selection.","Nonadherence to medical regimens is a major problem in health care. Distinguishing between intentional nonadherence (missing/altering doses to suit one's needs) and unintentional nonadherence (forgetting to take medication) may help in understanding nonadherence. Participants with respiratory conditions completed an anonymous questionnaire about (i) nonadherence; (ii) reasons for and against taking medications; and (iii) perceived style of the consultation in which their medication was first prescribed, as well as demographic and clinical variables. Consistent with the hypotheses, intentional nonadherence is predicted by the balance of individuals' reasons for and against taking medication as suggested by the Utility Theory, where these reasons include only those which the individual considers relevant and on which he/she focuses. Unintentional nonadherence is less strongly associated with decision balance, and more so with demographics. The research highlights the importance of (a) treating intentional and unintentional nonadherence as separate entities and (b) assessing individuals' idiosyncratic beliefs when considering intentional nonadherence.","","","",""
